raw,canonical
Thane,Thane
DIGH,Digh
AIRL,Airl
RABE,Rabe
GNSL,Gnsl
KPHN,Kphn
TUH,Tuh
SNPD,Snpd
VSH,Vsh
JNJ,Jnj
NEU,Neu
SWDV,Swdv
BEPR,Bepr
KHAG,Khag
MANR,Manr
KNDS,Knds
PNVL,Pnvl
TNA,Tna
CHURCHGATE,Churchgate
Charni Road,Charni Road
Grant Road,Grant Road
Mahalakshmi,Mahalakshmi
Lower Parel,Lower Parel
Prabhadevi,Prabhadevi
DADAR,Dadar
Matunga Road,Matunga Road
Mahim Jn.,Mahim Jn.
BANDRA,Bandra
Khar Road,Khar Road
Santa Cruz,Santa Cruz
Vile Parle,Vile Parle
ANDHERI,Andheri
Jogeshwari,Jogeshwari
Ram Mandir,Ram Mandir
Goregaon,Goregaon
Malad,Malad
Kandivli,Kandivli
BORIVALI,Borivali
Dahisar,Dahisar
Mira Road,Mira Road
Bhayandar,Bhayandar
Naigaon,Naigaon
Vasai Road,Vasai Road
Nalla Sopara,Nalla Sopara
VIRAR,Virar
VASAI ROAD,Vasai Road
BHAYANDAR,Bhayandar
Kandivali,Kandivali
VIRAR Nalla Sopara,Virar Nalla Sopara
VASAI ROAD Naigaon,Vasai Road Naigaon
M'BAI CENTRAL,M'Bai Central
Nallasopara,Nallasopara
Vaiterna,Vaiterna
SAPHALE,Saphale
Kelve Road,Kelve Road
PALGHAR,Palghar
Umroli,Umroli
BOISAR,Boisar
Vangaon,Vangaon
DAHANU ROAD,Dahanu Road
DAHANU ROAD Vangaon Boisar,Dahanu Road Vangaon Boisar
PALGHAR Kelve Road,Palghar Kelve Road
Saphale,Saphale
VIRAR Nallasopara,Virar Nallasopara
Naigaon Bhayandar,Naigaon Bhayandar
Mira Road Dahisar,Mira Road Dahisar
BORIVALI ANDHERI BANDRA,Borivali Andheri Bandra
MUMBAI CSMT,Mumbai Csmt
MASJID,Masjid
SANDHURST ROAD,Sandhurst Road
DOCK YARD ROAD,Dock Yard Road
REAY ROAD,Reay Road
COTTON GREEN,Cotton Green
SEWERI,Seweri
VADALA ROAD,Vadala Road
KING'S CIRCLE,King'S Circle
MAHIM JN.,Mahim Jn.
KHAR,Khar
VILEPARLE,Vileparle
JOGESWARI,Jogeswari
RAM MANDIR,Ram Mandir
GOREGAON,Goregaon
AIR CONDITIONED SERVICES,Air Conditioned Services
NERUL,Nerul
SEAWOODS DARAVE,Seawoods Darave
BELAPUR,Belapur
BAMANDONGRI,Bamandongri
KHARKOPAR,Kharkopar
SHEMATIKHAR,Shematikhar
DRONAGIRI,Dronagiri
URAN,Uran
Kasara,Kasara
Khardi,Khardi
Atgaon,Atgaon
Asangaon,Asangaon
Vasind,Vasind
Khadavli,Khadavli
Titwala,Titwala
Ambivli,Ambivli
Shahad,Shahad
Khopoli,Khopoli
Lowjee,Lowjee
Dolavli,Dolavli
Kelavli,Kelavli
Palasdhari,Palasdhari
Karjat,Karjat
Bhivpuri Road,Bhivpuri Road
Neral,Neral
Shelu,Shelu
Vangani,Vangani
Badlapur,Badlapur
Ambernath,Ambernath
Ulhas Nagar,Ulhas Nagar
Vithalwadi,Vithalwadi
Kalyan,Kalyan
Thakurli,Thakurli
Dombivli,Dombivli
Kopar,Kopar
Diva,Diva
Mumbra,Mumbra
Kalva,Kalva
Mulund,Mulund
Nahur,Nahur
Kanjur Marg,Kanjur Marg
Vikhroli,Vikhroli
Ghatkopar,Ghatkopar
Vidyavihar,Vidyavihar
Kurla,Kurla
Sion,Sion
Matunga,Matunga
Dadar,Dadar
Parel,Parel
Currey Road,Currey Road
Chinchpokli,Chinchpokli
Byculla,Byculla
Sandhurst Road,Sandhurst Road
Masjid,Masjid
CSMT,Csmt
Mumbai CSMT,Mumbai Csmt
Dockyard Road,Dockyard Road
Reay Road,Reay Road
Cotton Green,Cotton Green
Sewri,Sewri
Vadala Road,Vadala Road
King's Circle,King'S Circle
Mahim Jn,Mahim Jn
Bandra,Bandra
Vileparle,Vileparle
Andheri,Andheri
Ramnagar,Ramnagar
GTB Nagar,Gtb Nagar
Chunabhatti,Chunabhatti
Tilaknagar,Tilaknagar
Chembur,Chembur
Govandi,Govandi
Mankhurd,Mankhurd
Vashi,Vashi
Sanpada,Sanpada
Juinagar,Juinagar
Nerul,Nerul
Seawood Darave,Seawood Darave
Belapur CBD,Belapur Cbd
Kharghar,Kharghar
Mansarovar,Mansarovar
Khandeshwar,Khandeshwar
Panvel,Panvel
Mahalakshmi Lower Parel Prabhadevi DADAR,Mahalakshmi Lower Parel Prabhadevi Dadar
Matunga Road Mahim Jn. BANDRA,Matunga Road Mahim Jn. Bandra
